,name,rating,id,sentiment,director,scriptwriter,starring,genre,date,total_people,running_time
1659,幽灵医院,2.7,26818349,0.9999199601426946,['殷国君'],"['殷国君', '钱海毅']","['白歆惠', '李昌熙', '罗家英', '孟鹏']",恐怖,2016-09-30(中国大陆),50312,90
1660,湄公河行动,8.0,25815034,0.5131820923417356,['林超贤'],"['林超贤', '朱镜祺', '刘小群', '谭惠贞', '林明杰']","['张涵予', '彭于晏', '孙淳', '陈宝国', '冯文娟']",剧情,2016-09-30(中国大陆),4169,124
1661,我是哪吒,3.5,26820458,0.9999999958483474,['舒展'],"['李珏', '舒展', '王禹博', '邹超疑']","['陶典', '韩娇娇', '刘垚', '彭博', '邹亮']",剧情,2016-10-01(中国大陆),4169,83
1662,疯狂丑小鸭,2.3,26847189,0.001986049902597098,"['蒋叶峰', '郑成峰']",['于昂'],"['苏倩芸', '王雪沁', '杨进', '张洋', '吴凡']",喜剧,2016-10-03(中国大陆),941,81
1663,鲁滨逊漂流记,5.6,26721478,0.6418703506718909,"['文森特·凯斯特鲁特', '本·斯塔森']","['李·克里斯托弗', '多米尼克·帕里斯', '格雷恩姆·威尔登 ', '丹尼尔·笛福']","['马提亚斯·施维赫夫', '卡亚·叶娜尔', '伊尔卡·贝桑', '迪特·哈勒沃登', '艾琳·特策尔']",喜剧,2016-10-04(中国大陆),941,91
1664,遵义会议,2.9,26873292,0.08520519137687532,"['刘星', '胡明钢', '于兰']",['刘星'],"['于紫菲', '佟瑞欣', '张京生', '姚中华', '马晓伟']",历史,2016-10-10(中国大陆),2145,94
1665,黑处有什么,6.6,26433966,1.0,['王一淳'],['王一淳'],"['苏晓彤', '郭笑', '陆琦蔚', '刘丹', '蒋雪鸣']",剧情,2016-10-14(中国大陆),2145,105
1666,T台魔王,2.3,26873291,0.9950695894011999,['牛辉'],"['师春明', '杨婷']","['朱研', '班嘉佳', '侯静文', '胡社光', '王如男']",剧情,2016-10-14(中国大陆),134209,90
1667,勇士,8.9,3217169,1.0,['加文·欧康诺'],"['加文·欧康诺', '安东尼·塔姆巴基斯']","['汤姆·哈迪', '乔尔·埃哲顿', '尼克·诺特', '詹妮弗·莫里森', '弗兰克·格里罗']",剧情,2011-09-09(美国),134209,140
1668,伴生,7.5,26882411,0.9972604832314323,['黄肇邦'],[],[],纪录片,2016-10-17(香港亚洲电影节),66098,84
1669,惊天破,3.9,26220722,0.9999998857113683,['吴品儒'],"['吴品儒', '顾舒怡']","['谢霆锋', '刘青云', '佟丽娅', '范晓萱', '思漩']",剧情,2016-10-20(香港/中国大陆),66098,103
